main_name,main_image,name,image,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,rest_block.started,rest_block.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,main_stim_image.started,main_stim_image.stopped,next_image.keys,next_image.rt,next_image.started,next_image.stopped,end_study.started,end_study.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,14.301648651002324,None,space,2.96355633699568,14.301648651002324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-02_12h28.42.413,FontCognitiveLoad,2022.1.4,60.161910379067734,
,,,,,,,,,,,,,,,,,,17.288961851008935,None,y,1.6101617149979575,17.288961851008935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-02_12h28.42.413,FontCognitiveLoad,2022.1.4,60.161910379067734,
times,/Users/nolanbrady/Desktop/LabResearch/EEG_Protocols/FontCognitiveLoad/Images/Practice/timesnewroman_practice.png,,,0,0,0,2,,,,,,,,,,,,,,,,,18.955808626007638,None,space,14.928461746982066,18.955808626007638,None,33.901910605010926,None,38.90258656600781,None,space,3.035820742996293,38.90258656600781,None,,,,,,,,,,,,,,,1,001,2022-06-02_12h28.42.413,FontCognitiveLoad,2022.1.4,60.161910379067734,
bionic,/Users/nolanbrady/Desktop/LabResearch/EEG_Protocols/FontCognitiveLoad/Images/Practice/bionic_practice.png,,,0,1,1,0,,,,,,,,,,,,,,,,,41.97723343000689,None,space,19.506768642997486,41.97723343000689,None,61.501130929013016,None,66.50202129600802,None,space,0.9958377680013655,66.50202129600802,None,,,,,,,,,,,,,,,1,001,2022-06-02_12h28.42.413,FontCognitiveLoad,2022.1.4,60.161910379067734,
sans forgetica,/Users/nolanbrady/Desktop/LabResearch/EEG_Protocols/FontCognitiveLoad/Images/Practice/sansforgetica_practice.png,,,0,2,2,1,,,,,,,,,,,,,,,,,67.52454439100984,None,space,29.64340384400566,67.52454439100984,None,97.18361089201062,None,102.18416509300005,None,space,2.244864267995581,102.18416509300005,None,,,,,,,,,,,,,,,1,001,2022-06-02_12h28.42.413,FontCognitiveLoad,2022.1.4,60.161910379067734,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.44924468600948,None,y,35.708458629989764,104.44924468600948,None,,,,,,,,,1,001,2022-06-02_12h28.42.413,FontCognitiveLoad,2022.1.4,60.161910379067734,
,,times_1,Images/Main/times_1.png,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,147.08128957900044,None,152.08213459100807,None,space,2.849134364994825,152.08213459100807,None,,,,,,,140.21410585301055,None,space,6.842313343004207,140.21410585301055,None,,,1,001,2022-06-02_12h28.42.413,FontCognitiveLoad,2022.1.4,60.161910379067734,
,,sansforgetica_1,Images/Main/sansforgetica_1.png,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,160.13091111701215,None,165.1317590210092,None,space,2.1612551149883075,165.1317590210092,None,,,,,,,154.97351998901286,None,space,5.132895098999143,154.97351998901286,None,,,1,001,2022-06-02_12h28.42.413,FontCognitiveLoad,2022.1.4,60.161910379067734,
,,bionic_2,Images/Main/bionic_2.png,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,181.69673971200245,None,186.69741617300315,None,space,3.7690894809929887,186.69741617300315,None,,,,,,,167.34547881201433,None,space,14.331000855992897,167.34547881201433,None,,,1,001,2022-06-02_12h28.42.413,FontCognitiveLoad,2022.1.4,60.161910379067734,
,,times_2,Images/Main/times_2.png,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,194.51281512601417,None,199.51322219500435,None,space,8.113196220001555,199.51322219500435,None,,,,,,,190.52089784700365,None,space,3.9660606649995316,190.52089784700365,None,,,1,001,2022-06-02_12h28.42.413,FontCognitiveLoad,2022.1.4,60.161910379067734,
,,sansforgetica_2,Images/Main/sansforgetica_2.png,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,217.79516849201173,None,222.79602464000345,None,space,3.325640527997166,222.79602464000345,None,,,,,,,207.67223136901157,None,space,10.093554341990966,207.67223136901157,None,,,1,001,2022-06-02_12h28.42.413,FontCognitiveLoad,2022.1.4,60.161910379067734,
,,bionic_1,Images/Main/bionic_1.png,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,228.72789155300416,None,233.72846026900515,None,space,2.0373817729996517,233.72846026900515,None,,,,,,,226.1695068750123,None,space,2.5313505609956337,226.1695068750123,None,,,1,001,2022-06-02_12h28.42.413,FontCognitiveLoad,2022.1.4,60.161910379067734,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.79512546400656,None,,,,,,,
