main_name,main_image,name,image,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,rest_block.started,rest_block.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,main_stim_image.started,main_stim_image.stopped,next_image.keys,next_image.rt,next_image.started,next_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,15.042351997006335,None,space,16.44716690797941,15.042351997006335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial1,001,2022-06-03_10h03.40.733,FontCognitiveLoad,2022.1.4,59.69417135638996,
,,,,,,,,,,,,,,,,,,31.526194536010735,None,y,19.56900051998673,31.526194536010735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,trial1,001,2022-06-03_10h03.40.733,FontCognitiveLoad,2022.1.4,59.69417135638996,
sans forgetica,/Users/nolanbrady/Desktop/LabResearch/EEG_Protocols/FontCognitiveLoad/Images/Practice/sansforgetica_practice.png,,,0,0,0,1,,,,,,,,,,,,,,,,,51.19796171299822,None,space,63.673226810002234,51.19796171299822,None,114.89100640300603,None,144.90651576200617,None,space,2.812338538991753,144.90651576200617,None,,,,,,,,,,,,,trial1,001,2022-06-03_10h03.40.733,FontCognitiveLoad,2022.1.4,59.69417135638996,
times,/Users/nolanbrady/Desktop/LabResearch/EEG_Protocols/FontCognitiveLoad/Images/Practice/timesnewroman_practice.png,,,0,1,1,2,,,,,,,,,,,,,,,,,147.748788855999,None,space,53.69682361697778,147.748788855999,None,201.47124457600876,None,231.47027974799857,None,space,1.929278665993479,231.47027974799857,None,,,,,,,,,,,,,trial1,001,2022-06-03_10h03.40.733,FontCognitiveLoad,2022.1.4,59.69417135638996,
bionic,/Users/nolanbrady/Desktop/LabResearch/EEG_Protocols/FontCognitiveLoad/Images/Practice/bionic_practice.png,,,0,2,2,0,,,,,,,,,,,,,,,,,233.42697623900312,None,space,44.095653310985654,233.42697623900312,None,277.5516938799992,None,307.5513931700116,None,space,1.7608673909853678,307.5513931700116,None,,,,,,,,,,,,,trial1,001,2022-06-03_10h03.40.733,FontCognitiveLoad,2022.1.4,59.69417135638996,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.33408467500703,None,y,18.258664730994496,309.33408467500703,None,,,,,,,trial1,001,2022-06-03_10h03.40.733,FontCognitiveLoad,2022.1.4,59.69417135638996,
,,times_2,Images/Main/times_2.png,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,374.2318115740054,None,404.23062550900795,None,space,1.533699457984767,404.23062550900795,None,,,,,,,327.65212035900913,None,space,46.55669200998091,327.65212035900913,None,trial1,001,2022-06-03_10h03.40.733,FontCognitiveLoad,2022.1.4,59.69417135638996,
,,times_1,Images/Main/times_1.png,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,449.3120156380028,None,479.31155724100245,None,space,3.072625551983947,479.31155724100245,None,,,,,,,405.80719139199937,None,space,43.48133986297762,405.80719139199937,None,trial1,001,2022-06-03_10h03.40.733,FontCognitiveLoad,2022.1.4,59.69417135638996,
,,sansforgetica_1,Images/Main/sansforgetica_1.png,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,532.0590977530082,None,562.05870246001,None,space,2.4879003039823147,562.05870246001,None,,,,,,,482.4326554069994,None,space,49.598340589989675,482.4326554069994,None,trial1,001,2022-06-03_10h03.40.733,FontCognitiveLoad,2022.1.4,59.69417135638996,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.6081745840056,None,space,47.706413730978966,564.6081745840056,None,,,,,,,
