main_name,main_image,name,image,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,rest_block.started,rest_block.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,main_stim_image.started,main_stim_image.stopped,next_image.keys,next_image.rt,next_image.started,next_image.stopped,end_study.started,end_study.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,11.988544053005171,None,space,10.237872054989566,11.988544053005171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial2,001,2022-06-03_13h35.22.801,FontCognitiveLoad,2022.1.4,60.323468553534966,
,,,,,,,,,,,,,,,,,,22.264692732002004,None,y,10.085748473997228,22.264692732002004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trial2,001,2022-06-03_13h35.22.801,FontCognitiveLoad,2022.1.4,60.323468553534966,
sans forgetica,/Users/nolanbrady/Desktop/LabResearch/EEG_Protocols/FontCognitiveLoad/Images/Practice/sansforgetica_practice.png,,,0,0,0,1,,,,,,,,,,,,,,,,,32.419070332005504,None,space,42.642674595990684,32.419070332005504,None,75.08159275900107,None,105.08090982001158,None,space,3.353761203994509,105.08090982001158,None,,,,,,,,,,,,,,,trial2,001,2022-06-03_13h35.22.801,FontCognitiveLoad,2022.1.4,60.323468553534966,
times,/Users/nolanbrady/Desktop/LabResearch/EEG_Protocols/FontCognitiveLoad/Images/Practice/timesnewroman_practice.png,,,0,1,1,2,,,,,,,,,,,,,,,,,108.47269766700629,None,space,42.777293353996356,108.47269766700629,None,151.27872796200973,None,181.29433112600236,None,space,2.322643452003831,181.29433112600236,None,,,,,,,,,,,,,,,trial2,001,2022-06-03_13h35.22.801,FontCognitiveLoad,2022.1.4,60.323468553534966,
bionic,/Users/nolanbrady/Desktop/LabResearch/EEG_Protocols/FontCognitiveLoad/Images/Practice/bionic_practice.png,,,0,2,2,0,,,,,,,,,,,,,,,,,183.6505992260063,None,space,35.395088987992494,183.6505992260063,None,219.07631727099943,None,249.07542633000412,None,space,1.702840940997703,249.07542633000412,None,,,,,,,,,,,,,,,trial2,001,2022-06-03_13h35.22.801,FontCognitiveLoad,2022.1.4,60.323468553534966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.80832370900316,None,y,15.291931318992283,250.80832370900316,None,,,,,,,,,trial2,001,2022-06-03_13h35.22.801,FontCognitiveLoad,2022.1.4,60.323468553534966,
,,bionic_2,Images/Main/bionic_2.png,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,310.673018032001,None,340.68852451600833,None,space,1.747097211991786,340.68852451600833,None,,,,,,,266.1730425720016,None,space,44.476850197985186,266.1730425720016,None,,,trial2,001,2022-06-03_13h35.22.801,FontCognitiveLoad,2022.1.4,60.323468553534966,
,,sansforgetica_2,Images/Main/sansforgetica_2.png,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,392.68649369799823,None,422.7025364889996,None,space,1.5688880960078677,422.7025364889996,None,,,,,,,342.4813038340071,None,space,50.18343870098761,342.4813038340071,None,,,trial2,001,2022-06-03_13h35.22.801,FontCognitiveLoad,2022.1.4,60.323468553534966,
,,bionic_1,Images/Main/bionic_1.png,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,462.8838813129987,None,492.88284479999857,None,space,1.8580127289897064,492.88284479999857,None,,,,,,,424.32384236900543,None,space,38.5329581979895,424.32384236900543,None,,,trial2,001,2022-06-03_13h35.22.801,FontCognitiveLoad,2022.1.4,60.323468553534966,
,,times_1,Images/Main/times_1.png,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,534.881302460999,None,564.8801558830019,None,space,1.7228790569934063,564.8801558830019,None,,,,,,,494.7891094000079,None,space,40.06616807098908,494.7891094000079,None,,,trial2,001,2022-06-03_13h35.22.801,FontCognitiveLoad,2022.1.4,60.323468553534966,
,,sansforgetica_1,Images/Main/sansforgetica_1.png,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,610.7452281560109,None,640.7611928180122,None,space,2.1542777139984537,640.7611928180122,None,,,,,,,566.6512523960118,None,space,44.07388405199163,566.6512523960118,None,,,trial2,001,2022-06-03_13h35.22.801,FontCognitiveLoad,2022.1.4,60.323468553534966,
,,times_2,Images/Main/times_2.png,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,679.2094453510072,None,709.2084136170015,None,space,1.5621972240041941,709.2084136170015,None,,,,,,,642.9656079770066,None,space,36.21398548099387,642.9656079770066,None,,,trial2,001,2022-06-03_13h35.22.801,FontCognitiveLoad,2022.1.4,60.323468553534966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710.7915650490031,None,,,,,,,
